slug,name_en,name_ar,aliases_ar,category,unit,shelf_life,role,purchase_step,keeps_days_at_20c,q10,origin,confidence,source_url,notes
fresh_milk,fresh milk (pasteurised),حليب طازج,حليب|حليب فرش|حليب بقري|حليب بلدي,dairy_eggs,ml,perishable,dairy,1000,1,3.5,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D8%A8%D8%A7%D9%86-%D8%A8%D9%8A%D8%B6,"Pasteurised milk in 1 L bottles or cartons and loose village milk in bags. Needs cooling; without a fridge, boil it and use it the same day."
uht_milk,long-life (UHT) milk,حليب طويل الأجل,حليب معقم|حليب عميد|حليب كرتون|حليب طويل الامد,dairy_eggs,ml,stable,dairy,1000,180,1.5,both,high,https://www.al-jebrini.com/products/12,"Sealed UHT cartons keep for months unrefrigerated. After opening, treat it like fresh milk. Aid cartons were distributed in Gaza in 2025."
flavoured_milk,flavoured milk drink,حليب بالنكهات,حليب بالشوكولاتة|شوكو|حليب فراولة|حليب موز,dairy_eggs,ml,stable,drink,200,90,1.5,market,medium,https://dokan.ps/product-category/super-market/dairy-products-milk-and-cheeses/and-cheeses/page/2/,Mostly UHT 125 to 250 ml packs (stable while sealed). Some 1 L versions are fresh and need cooling.
milk_powder,powdered milk,حليب بودرة,حليب مجفف|حليب ناشف|حليب نيدو|بودرة حليب,dairy_eggs,g,stable,dairy,400,365,1.4,both,high,https://www.palbazaar.com/%D8%A7%D9%84%D8%A8%D8%A7%D9%86-%D8%A8%D9%8A%D8%B6,"Full-cream or instant powdered milk in tins or bags. UNRWA emergency parcels have included milk powder, and it is the main way to get milk without a fridge."
sweetened_condensed_milk,sweetened condensed milk,حليب مكثف محلى,حليب مكثف|حليب محلى,dairy_eggs,g,stable,dairy,397,365,1.3,market,high,https://www.palbazaar.com/%D8%A7%D9%84%D8%A8%D8%A7%D9%86-%D8%A8%D9%8A%D8%B6,"Sealed can, stable. Used in desserts and tea."
evaporated_milk,evaporated milk,حليب مبخر,حليب مركز|حليب ابو قوس|حليب علب,dairy_eggs,g,stable,dairy,170,365,1.3,market,medium,https://www.carrefouregypt.com/mafegy/en/search?keyword=condensed%20milk,"Unsweetened, sealed small cans. Stable until opened."
laban_drink,drinking laban / buttermilk,لبن أب,لبن مخيض|لبن شرب|عيران|شنينة|لبن رايب سائل,dairy_eggs,ml,perishable,dairy,250,1,3,market,high,https://www.al-jebrini.com/products/16,"Thin drinking yoghurt (laban up, mkhid, ayran). Short life without cooling."
jameed,jameed (dried yoghurt),جميد,لبن جميد|جميد كركي|جميد سائل,dairy_eggs,g,stable,dairy,250,180,1.3,market,medium,https://catalogue.juneidi.com/%D8%A7%D9%84%D8%AC%D9%85%D9%8A%D8%AF-%D8%A7%D9%84%D9%83%D8%B1%D9%83%D9%8A/,Dry jameed balls keep for months unrefrigerated. The liquid jameed sold in tubs is chilled and perishable once opened. Used for mansaf and yoghurt stews.
nabulsi_cheese,Nabulsi boiled cheese,جبنة نابلسية,جبنة مغلية|جبنة نابلسي|جبنة مغلية بالحبة السودا,dairy_eggs,g,keeps_days,dairy,250,30,2.5,market,medium,https://www.al-jebrini.com/products/15,"Boiled, heavily salted white cheese traditionally stored in brine in tins, so it keeps for weeks without a fridge. Soaked in water before eating."
akkawi_cheese,Akkawi cheese,جبنة عكاوي,عكاوي|جبنة عكاوية,dairy_eggs,g,perishable,dairy,250,1,3,market,medium,https://dokan.ps/product-category/super-market/dairy-products-milk-and-cheeses/and-cheeses/,"Mild salted white cheese, also desalted for knafeh. Short life without cooling unless kept in strong brine."
