slug,name_en,name_ar,aliases_ar,category,unit,shelf_life,role,purchase_step,keeps_days_at_20c,q10,origin,confidence,source_url,notes
khubeiza,mallow (khubeiza),خبيزة,خبيزه|خبّيزة,produce,bunch,perishable,veg_leaf,1,1,2.5,market,high,https://news.un.org/en/story/2024/02/1147077,"Wild winter green, often foraged free; also sold by bunch in markets. Cooked with onion and oil or stewed."
chard,chard (silq),سلق,سلق بلدي,produce,bunch,keeps_days,veg_leaf,1,2,2.5,market,high,https://tastecooking.com/dill-fish-resilience-holy-trinity-gazan-cuisine/,Key ingredient in sumagiyya; sold by bunch.
dill,dill (jarada),جرادة,شبت|شبث|جراده,produce,bunch,keeps_days,veg_leaf,1,2,2.5,market,high,https://www.motqdmon.com/2020/09/7.html,Core Gazan herb (dagga salad and fish). Gaza price lists call it jarada (جرادة) and sell it by the bunch. Dill seed belongs with spices.
green_onion,green onion,بصل أخضر,بصل أخضر|بصل ناعم,produce,bunch,keeps_days,veg_leaf,1,3,2.5,market,medium,,Sold by bunch.
coriander_fresh,coriander (fresh),كزبرة خضراء,كزبرة|كزبره,produce,bunch,keeps_days,veg_leaf,1,2,2.5,market,high,https://www.motqdmon.com/2020/09/7.html,Listed by bunch in Gaza price lists.
rocket,rocket (arugula),جرجير,جرجير بلدي,produce,bunch,keeps_days,veg_leaf,1,2,2.5,market,medium,,Common salad green in Palestine; sold by bunch.
lettuce,lettuce,خس,خس بلدي|خسة,produce,piece,keeps_days,veg_leaf,1,3,2.5,market,high,https://www.motqdmon.com/2020/09/7.html,Sold per head in Gaza price lists.
molokhia_fresh,jew's mallow (fresh),ملوخية خضراء,ملوخية|ملوخيه,produce,g,keeps_days,veg_leaf,1000,2,2.5,market,high,https://www.motqdmon.com/2022/07/461.html,Summer crop; bought by kg and picked/chopped at home. Distinct from existing molokhia_dry.
grape_leaves,grape leaves (fresh),ورق عنب,ورق دوالي,produce,g,keeps_days,veg_leaf,250,3,2.5,market,high,https://www.alwatanvoice.com/arabic/news/2021/07/27/1425115.html,Spring; for stuffing (dawali); priced per wiqiya in Gaza. Brined jars are a pantry item.
cabbage,cabbage,ملفوف,ملفوفة|كرنب,produce,g,keeps_days,veg_leaf,1000,10,2,market,high,https://www.motqdmon.com/2020/09/7.html,Whole heads keep well unrefrigerated.
red_cabbage,red cabbage,ملفوف أحمر,ملفوف احمر,produce,g,keeps_days,veg_leaf,1000,10,2,market,medium,https://www.motqdmon.com/2020/09/7.html,
cauliflower,cauliflower,زهرة,قرنبيط|زهره,produce,g,keeps_days,veg_fruit,1000,4,2.5,market,high,https://www.motqdmon.com/2020/09/7.html,Gaza name is zahra.
hot_green_chilli,hot green chilli (fresh),فلفل حار أخضر,فلفل حار|شطة خضراء|فلفل أخضر حار,produce,g,keeps_days,veg_fruit,250,5,2.5,market,high,https://tastecooking.com/dill-fish-resilience-holy-trinity-gazan-cuisine/,"Fresh chilli, basic to Gazan cooking; may overlap with existing 'chilli' (spice), so the reviewer should decide."
okra,okra,بامية,باميه,produce,g,keeps_days,veg_fruit,250,3,2.5,market,high,https://www.motqdmon.com/2020/09/7.html,Priced per wiqiya in a Gaza price list; for tabeekh bamia.
green_beans,green beans,فاصوليا خضراء,فاصوليا|فاصولياء,produce,g,keeps_days,veg_fruit,1000,4,2.5,market,high,https://www.motqdmon.com/2022/07/461.html,
peas_fresh,peas (fresh in pod),بازيلاء,بازيلا|بسلة,produce,g,keeps_days,veg_fruit,1000,3,2.5,market,high,https://www.motqdmon.com/2020/09/7.html,
fava_beans_fresh,broad beans (fresh green),فول أخضر,فول اخضر,produce,g,keeps_days,veg_fruit,1000,4,2.5,market,high,https://www.motqdmon.com/2020/09/7.html,Spring. Distinct from existing dried fava_beans.
green_chickpeas,green chickpeas (fresh),حاملة,حملة|حمص أخضر,produce,g,keeps_days,veg_fruit,500,3,2.5,market,low,,"Spring snack in Palestine, sold on the stem; not confirmed in Gaza sources."
yellow_squash,yellow pumpkin squash,قرع أصفر,قرع|يقطين,produce,g,keeps_days,veg_fruit,1000,30,1.8,market,high,https://www.motqdmon.com/2020/09/7.html,Whole squash keeps weeks; cut pieces are perishable.
local_squash,local green squash,قرع بلدي,قرع أخضر,produce,g,keeps_days,veg_fruit,1000,14,2,market,medium,https://www.motqdmon.com/2020/09/7.html,Listed separately from yellow squash; the reviewer should confirm the variety.
corn_cob,corn on the cob,ذرة,عرنوس ذرة|كوز ذرة,produce,piece,keeps_days,veg_fruit,1,3,2.5,market,medium,,Summer; boiled or roasted street snack.
sweet_potato,sweet potato,بطاطا حلوة,بطاطا حلوه|بطاطا صفرا,produce,g,keeps_days,veg_root,1000,14,2,market,medium,,Grown in Gaza; keeps a couple of weeks unrefrigerated.
beetroot,beetroot,شمندر,شوندر|بنجر,produce,g,keeps_days,veg_root,1000,10,2,market,medium,,
radish,radish,فجل,فجل أحمر,produce,bunch,keeps_days,veg_root,1,4,2.5,market,medium,,Sold by bunch.
turnip,turnip,لفت,لفت أبيض,produce,g,keeps_days,veg_root,1000,10,2,market,medium,,"Mostly bought for pickling (pink pickled turnip, لفت مخلل)."
ginger_fresh,ginger (fresh),زنجبيل أخضر,زنجبيل,produce,g,keeps_days,veg_root,250,14,2,market,high,https://www.motqdmon.com/2020/09/7.html,Priced per wiqiya.
guava,guava,جوافة,جوافه,produce,g,keeps_days,fruit,1000,4,2.5,market,high,https://www.newarab.com/news/guava-season-gaza-surviving-trees-struggle-bear-fruit,Local; season Sept to Dec.
orange,orange,برتقال,برتقان|بردقان,produce,g,keeps_days,fruit,1000,10,2,market,high,https://www.aljazeera.com/news/longform/2024/7/2/how-israel-destroyed-gazas-ability-to-feed-itself,Traditional Gaza citrus (Khan Younis); winter.
