slug,name_en,name_ar,aliases_ar,category,unit,shelf_life,role,purchase_step,keeps_days_at_20c,q10,origin,confidence,source_url,notes
falafel_sandwich,falafel sandwich,فرشوحة فلافل,سندويشة فلافل|ساندويش فلافل|فرشوحة طعمية,ready_to_eat,piece,perishable,ready_meal,1,0.5,2.5,market,high,https://t.me/s/asarsook?q=%D9%81%D8%B1%D8%B4%D9%88%D8%AD%D8%A9,"Gaza market-price channel tracks it (12 NIS in July to early Aug 2025, 5 NIS from mid-Aug 2025, 7-8 NIS later). Gaza calls a sandwich فرشوحة. Eat the same day."
falafel_patty,falafel patty (loose),قرص فلافل,فلافل|أقراص فلافل|طعمية|حبة فلافل,ready_to_eat,piece,perishable,ready_meal,3,0.5,2.5,market,high,https://t.me/s/asarsook?q=%D9%81%D8%B1%D8%B4%D9%88%D8%AD%D8%A9,Sold loose in threes at stalls (3 for 1-2 NIS in 2025; 1 NIS each in late July 2025). Chickpea/fava fritter fried in oil. Goes soggy and stale within the day.
shawarma_sandwich,shawarma sandwich,فرشوحة شاورما,سندويشة شاورما|ساندويش شاورما|شاورما|شاورما عربي,ready_to_eat,piece,perishable,ready_meal,1,0.25,3.5,market,high,https://t.me/asarsook/2212,"Usually chicken shawarma in Gaza. 2025-26 prices ranged 8-20 NIS by restaurant, some including a can of cola. Contains meat and garlic sauce: eat within hours."
ful_plate,ful medames plate,صحن فول,فول مدمس|صحن فول مدمس|فول بالزيت|فول بالطحينة,ready_to_eat,piece,perishable,ready_meal,1,0.5,3,market,medium,https://t.me/s/asarsook?q=%D8%B5%D8%AD%D9%86,A plate from the ful and hummus shop (5 NIS in a 2026 post). Often bought in a household's own bowl as breakfast for the family. Unit = one plate.
hummus_plate,hummus with tahini (shop-made),حمص بطحينة,صحن حمص|حمص مطحون|حمص ناعم|حمص,ready_to_eat,g,perishable,ready_meal,250,0.5,3,market,medium,https://t.me/s/asarsook?q=%D8%B5%D8%AD%D9%86,"Sold by the wiqiyya (وقية) at ful/hummus shops (7 NIS per wiqiyya in a 2026 post). The Palestinian wiqiyya is 250 g, so the purchase step is 250 g. Sours quickly in heat."
msabbaha,msabbaha (warm whole-chickpea hummus),مسبحة,مسبّحة|مسبحة حمص|حمص حب بطحينة,ready_to_eat,g,perishable,ready_meal,250,0.5,3,market,medium,https://en.wikipedia.org/wiki/Hummus,"Warm whole chickpeas in tahini and lemon, from the same shops as hummus and ful; sold by the wiqiyya or plate. No Gaza price found yet."
fatteh_hummus,hummus fatteh,فتة حمص,فتة|فتة حمص بالطحينة|فتة بالسمنة,ready_to_eat,piece,perishable,ready_meal,1,0.3,3,market,low,https://en.wikipedia.org/wiki/Fatteh,"Toasted or stale bread with chickpeas, tahini/yoghurt and ghee, served by the plate at ful shops. Eat straight away. No Gaza price found."
ful_sandwich,ful sandwich,فرشوحة فول,سندويشة فول|ساندويش فول,ready_to_eat,piece,perishable,ready_meal,1,0.5,3,market,low,,Common cheap breakfast sandwich from ful shops. Listed from general knowledge; no Gaza price found.
fried_potato_sandwich,fried potato sandwich,فرشوحة بطاطا,سندويشة بطاطا|ساندويش بطاطا مقلية|فرشوحة شيبس,ready_to_eat,piece,perishable,ready_meal,1,0.5,2.5,market,low,,Fried potato in bread with salad; sold at falafel stalls. Listed from general knowledge; no Gaza price found.
manakish_zaatar,zaatar manousheh,منقوشة زعتر,مناقيش زعتر|فطيرة زعتر|منقوشة,ready_to_eat,piece,keeps_days,bread,1,1,2,market,medium,https://en.wikipedia.org/wiki/Manakish,Flatbread baked with zaatar and olive oil at bakeries and saj stalls. Keeps about a day before going hard.
manakish_cheese,cheese manousheh,منقوشة جبنة,مناقيش جبنة|فطيرة جبنة|منقوشة جبن,ready_to_eat,piece,perishable,ready_meal,1,0.5,3,market,medium,https://en.wikipedia.org/wiki/Manakish,Flatbread baked with white or processed cheese. Cheese makes it spoil faster than the zaatar kind.
sfiha,sfiha (open meat pie),صفيحة,صفيحة لحمة|لحم بعجين|صفايح,ready_to_eat,piece,perishable,ready_meal,1,0.3,3.5,market,medium,https://en.wikipedia.org/wiki/Sfiha,Small open dough pies with minced meat and onion; sold by the piece or dozen at bakeries. Meat filling: eat the same day.
fatayer_spinach,spinach fatayer,فطيرة سبانخ,فطاير سبانخ|فطائر سبانخ|فطيرة سبانخ بالسماق,ready_to_eat,piece,perishable,ready_meal,1,1,2.5,market,medium,https://en.wikipedia.org/wiki/Fatayer,Triangular pies with spinach and sumac. Also made with cheese or zaatar. Keeps about a day.
pizza_slice,pizza (shop-made),بيتزا,بيتزا|قطعة بيتزا|بيتزا خضار,ready_to_eat,piece,perishable,ready_meal,1,0.5,3,market,low,,Sold by the piece or small pie in Gaza bakeries and fast-food shops. No Gaza price found. Unit = one piece or slice.
