slug,name_en,name_ar,aliases_ar,category,unit,shelf_life,role,purchase_step,keeps_days_at_20c,q10,origin,confidence,source_url,notes
red_lentils_split,"red lentils, split",عدس مجروش,عدس أحمر|عدس أصفر|عدس مقشور,pulses_canned,g,stable,pulse,500,365,1.5,both,high,https://t.me/s/asarsook?after=864,Split red lentils for shorbet adas and mujaddara-style dishes; cook fast (saves gas). Gaza price lists call them yellow lentils (عدس أصفر). Sub-type of the existing lentils item; a core aid-parcel staple.
brown_lentils_whole,"brown lentils, whole",عدس حب,عدس أسود|عدس بني|عدس بلدي|عدس كبير,pulses_canned,g,stable,pulse,500,365,1.5,both,high,https://t.me/s/asarsook?after=864,Whole brown/green lentils (black lentils in Gaza price lists). Take longer to cook than split red lentils. Sub-type of the existing lentils item.
fava_beans_split,"fava beans, split and peeled",فول مدشوش,فول مجروش|فول مقشور|فول ناشف مدشوش,pulses_canned,g,stable,pulse,500,365,1.5,market,medium,https://fattuta.com/eg/product/%D9%81%D9%88%D9%84%20%D9%85%D8%AF%D8%B4%D9%88%D8%B4%20%D8%A7%D9%84%D8%B6%D8%AD%D9%89%20-%20500%D8%AC%D9%85/?pid=11789,Egyptian-style split dry fava for taameya/falafel and bessara. Mostly arrives from Egypt.
dried_peas,dried peas,بازيلا ناشفة,بازيلاء مجففة|بازيلا حب|بسلة ناشفة,pulses_canned,g,stable,pulse,500,365,1.5,market,medium,https://t.me/s/asarsook?after=864,Listed in Gaza market price lists (بازيلا ناشفة).
dried_cowpeas,dried black-eyed peas,لوبيا ناشفة,لوبيا حب|لوبيا مجففة|فاصوليا عين سوداء,pulses_canned,g,stable,pulse,500,365,1.5,market,medium,https://t.me/s/asarsook?after=864,Listed in Gaza market price lists (لوبيا ناشفة); cooked as a stew with tomato.
lupini_beans,lupini beans,ترمس,ترمس حلو|ترمس مر|ترمس مسلوق,pulses_canned,g,stable,snack,250,365,1.5,market,medium,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,Sold dried by the kilo or ready-soaked in brine jars. Dried beans need days of soaking and boiling; the jarred ones are eaten as a snack. Sealed jars keep without refrigeration.
canned_fava,canned fava beans (ful medames),فول مدمس معلب,فول معلب|فول مدمس|علبة فول|فول حب,pulses_canned,g,stable,pulse,400,730,1.3,both,high,https://www.wfp.org/news/wfp-reaches-families-most-risk-food-assistance-post-ceasefire-scale-gathers-pace,"The standard breakfast. Plain, large-bean, small-bean and ready-mixed (Egyptian, Palestinian or Lebanese style, with chilli, lemon or tahini) cans. WFP parcels include canned beans. Gaza market price about 2 NIS a can (Oct 2025)."
canned_chickpeas,canned chickpeas,حمص حب معلب,حمص مسلوق|حمص حب|علبة حمص,pulses_canned,g,stable,pulse,400,730,1.3,both,high,https://www.wfp.org/stories/wfp-calls-safe-access-reach-palestinians-urgent-need,Boiled whole chickpeas. WFP ready-to-eat rations have included a can of chickpeas.
canned_hummus_tahini,"hummus with tahini, canned",حمص بالطحينة معلب,مسبحة|حمص معلب|معجون الحمص|حمص جاهز,pulses_canned,g,stable,ready_meal,135,730,1.3,both,high,https://media.un.org/unifeed/en/asset/d347/d3474996,Ready-to-eat hummus in small cans. WFP parcels have included chickpea paste.
canned_moutabal,"moutabal (aubergine with tahini), canned",متبل باذنجان معلب,متبل|بابا غنوج,pulses_canned,g,stable,ready_meal,135,730,1.3,market,medium,https://altaqwamarket-marka.com/product/508719,Ready-to-eat aubergine and tahini dip in cans.
