slug,name_en,name_ar,aliases_ar,category,unit,shelf_life,role,purchase_step,keeps_days_at_20c,q10,origin,confidence,source_url,notes
instant_coffee,instant coffee (Nescafe type),نسكافيه,قهوة سريعة التحضير|قهوة فورية|نسكافة,beverages,g,stable,drink,50,540,1.4,market,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Jars/pouches of soluble coffee; Nescafe is the generic name in Gaza.
coffee_mix_3in1,3-in-1 coffee / cappuccino mix sachets,نسكافيه 3 في 1,اصابع نسكافيه|كابتشينو|قهوة ثلاثة في واحد|اصبع قهوة,beverages,g,stable,drink,20,365,1.5,market,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Single sticks (18-30 g) sold individually; contain sugar and creamer so no milk needed.
instant_tea_mix,instant tea mix sachets (tea with sugar / karak),شاي سريع التحضير,شاي كرك|شاي بالسكر اصبع,beverages,g,stable,drink,14,365,1.5,market,medium,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Sweetened tea sticks; minor item.
coffee_creamer,coffee creamer / whitener powder,مبيض قهوة,كوفي ميت|كريمة قهوة,beverages,g,stable,other,400,365,1.5,market,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Powdered non-dairy creamer; useful milk substitute in tea/coffee without refrigeration.
cocoa_powder,cocoa powder,كاكاو,كاكاو بودرة|مسحوق الكاكاو,beverages,g,stable,drink,100,540,1.4,market,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Unsweetened/sweetened cocoa for drinks and baking.
chocolate_drink_powder,chocolate drink powder (Nesquik type),شوكو,نسكويك|مشروب الشوكولاتة|شوكو بودرة,beverages,g,stable,drink,30,540,1.4,market,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,"Sweetened chocolate milk powder, sticks or tins."
sahlab_powder,sahlab powder,سحلب,سحلب بودرة|سحلب سريع التحضير|سحلبية,beverages,g,stable,drink,30,365,1.5,market,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Winter hot milk drink mix; instant versions only need water. Gaza price list 2014 lists sahlab by the oqiya.
sage_dried,dried sage (maramiya),ميرمية,مرمية|ميرامية|مريمية,beverages,g,stable,drink,50,365,1.4,market,high,https://tarasmulticulturaltable.com/the-gaza-kitchen-cookbook-review-and-shay-bil-maramiya-palestinian-sage-scented-tea/,"Added to black tea (shay bil maramiya), per The Gaza Kitchen; also drunk alone for stomach aches. Fresh sage is also sold by the bunch."
chamomile_dried,dried chamomile flowers,بابونج,بابونج شامي|كاموميل,beverages,g,stable,drink,50,365,1.4,market,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Loose dried flowers for infusion.
zhourat_dried,zhourat (dried flower tea mix),زهورات,زهورات شامية|زهورات فلسطينية,beverages,g,stable,drink,50,365,1.4,market,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Levantine mixed dried flowers/herbs for winter infusion.
hibiscus_dried,dried hibiscus (karkade),كركديه,كركدية|كركادي,beverages,g,stable,drink,100,365,1.4,market,high,https://www.alwatanvoice.com/arabic/news/2013/07/08/412776.html,Gaza market lists karkade by the oqiya (about 4-5 NIS in 2013-2014); drunk cold in Ramadan.
herbal_tea_bags,"herbal tea bags (chamomile, anise, ginger, sage etc.)",أعشاب أكياس,شاي أعشاب|يانسون أكياس|زنجبيل أكياس,beverages,piece,stable,drink,20,540,1.4,market,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Boxes of 12-100 bags; unit is one bag.
powdered_drink_mix,powdered fruit drink mix (Tang type),تانج,عصير بودرة|فوستر كلارك|عصير تانج|بودرة عصير,beverages,g,stable,drink,40,540,1.4,market,high,https://www.carrefouregypt.com/mafegy/en/search?keyword=powder%20drink,Sugar-sweetened flavoured powder mixed with (safe) water; cheap substitute for juice.
fruit_juice,fruit juice / nectar / juice drink,عصير,عصير فواكه|عصير كرتون|عصير معلب|نكتار,beverages,ml,stable,drink,250,180,1.8,market,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%A8%D8%A7%D8%B1%D8%AF%D8%A9,"Shelf-stable cartons, PET bottles and pouches. Sealed packs keep; once opened needs cooling."
soft_drink,carbonated soft drink,مشروب غازي,كولا|ببسي|كازوز|مشروبات غازية|سفن,beverages,ml,stable,drink,250,180,1.5,market,high,https://fastcompanyme.com/impact/are-homegrown-brands-in-gaza-giving-global-soft-drink-giants-a-run-for-their-fizz/,"Gaza has local bottlers: Yazegi Group (Pepsi, 7Up, Mirinda, Gaza Cola, Opera), NBC Coca-Cola plant (2016), Ventana, Al-Faluji. Pack sizes for Gaza-only brands not found."
energy_drink,energy drink,مشروب طاقة,ريد بول|اكس ال|بلو|باور هورس,beverages,ml,stable,drink,250,365,1.4,market,high,https://www.jpost.com/middle-east/article-886676,XL and Red Bull named among goods entering Gaza before Ramadan.
malt_drink,non-alcoholic malt drink,مشروب شعير,بيرة بدون كحول|بافاريا|باربيكان|شعير,beverages,ml,stable,drink,330,270,1.5,market,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%A8%D8%A7%D8%B1%D8%AF%D8%A9,Flavoured malt beverages in cans/glass.
iced_coffee_drink,ready-to-drink iced coffee,قهوة مثلجة,ايس كوفي|كوفي مثلج,beverages,ml,stable,drink,180,120,2,market,medium,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%A8%D8%A7%D8%B1%D8%AF%D8%A9,Small UHT cups/cans with milk; keep sealed.
bottled_water,bottled drinking water,مياه معدنية,ماء|مي|مياه صحة|قنينة ماء,beverages,ml,stable,drink,1500,365,1.2,both,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%A8%D8%A7%D8%B1%D8%AF%D8%A9,Sealed bottles; aid agencies also distribute bottled water.
water_gallon_refill,"desalinated drinking water, gallon refill",جالون مياه حلوة,مياه محلاة|جالون تحلية|مي حلوة|تعبئة جالون,beverages,ml,keeps_days,drink,20000,5,2,market,high,https://www.wafa.ps/pages/details/110943,"Filled from desalination stations or vendor trucks into 16-20 L jerrycans; 20 L at about 4 NIS (5-6 NIS in camps), prices far higher when fuel is short. Unchlorinated so best used within days."
fruit_syrup_concentrate,fruit syrup / cordial concentrate,شراب مركز,عصير مركز|فيمتو|شراب|مركز,beverages,ml,stable,drink,710,365,1.4,market,high,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%A8%D8%A7%D8%B1%D8%AF%D8%A9,Diluted with water; includes Vimto and large 4 L cordials. Gaza price list 2014 shows concentrated drinks at 11-15 NIS per pack.
tamarind_concentrate,tamarind drink concentrate,تمر هندي,شراب تمر هندي|عصير تمر هندي,beverages,ml,stable,drink,710,365,1.4,market,high,https://www.alwatanvoice.com/arabic/news/2013/07/08/412776.html,Ramadan drink; sold as concentrate and as packets in Gaza markets.
tamarind_dried,dried tamarind block,تمر هندي ناشف,تمر هندي طبيعي|تمر هندي حب,beverages,g,stable,drink,250,365,1.4,market,medium,https://www.alwatanvoice.com/arabic/news/2013/07/08/412776.html,Soaked and strained to make the drink; West Bank prices by the kilo in 2013.
carob_pods,carob pods for drink,خروب,خروب عيدان|خروب طبيعي|خرنوب,beverages,g,stable,drink,250,365,1.4,market,high,https://www.alwatanvoice.com/arabic/news/2013/07/08/412776.html,Gaza market 2013: carob sticks 5 NIS/kg; soaked to make the Ramadan drink.
carob_concentrate,carob drink concentrate,شراب خروب,خروب صناعي|عصير خروب|دبس خروب,beverages,ml,stable,drink,1000,365,1.4,market,medium,https://www.alwatanvoice.com/arabic/news/2013/07/08/412776.html,Gaza market 2013 sold 'industrial' carob by the small gallon (12-15 NIS); no branded pack found.
