slug,name_en,name_ar,aliases_ar,category,unit,shelf_life,role,purchase_step,keeps_days_at_20c,q10,origin,confidence,source_url,notes
long_grain_rice,long-grain rice (basmati / jasmine),رز طويل,رز حبة طويلة|رز بسمتي|أرز بسمتي|رز ياسمين|رز جدبة,grains_bakery,g,stable,grain,1000,365,1.3,both,high,https://t.me/s/asarsook,"Gaza price lists separate 'رز مصري' (medium/short grain, existing slug rice) from 'رز طويل'/basmati, which costs about 2x as much. Also covers jasmine and parboiled long grain."
whole_wheat_flour,whole-wheat flour,طحين قمح كامل,طحين أسمر|دقيق قمح كامل|طحين باب ثاني,grains_bakery,g,keeps_days,grain,1000,90,1.6,market,medium,https://www.carrefouregypt.com/mafegy/ar/search?keyword=%D8%AF%D9%82%D9%8A%D9%82,Bran oils go rancid faster than white flour; watch for weevils in heat.
semolina,semolina,سميد,سميد ناعم|سميد خشن|سميد بسبوسة|سميد فلة,grains_bakery,g,stable,grain,500,270,1.4,market,high,https://t.me/s/asarsook,"Used for basbousa, ma'amoul and harissa sweets; sold loose by the kilo in Gaza."
vermicelli,vermicelli (sha'riyeh),شعيرية,شعرية|شعيرية مكرونة,grains_bakery,g,stable,grain,350,540,1.3,market,high,https://t.me/s/asarsook,"Fried in oil and cooked with rice, or in soups. Abu Aita 350 g seen in Gaza price lists."
maftoul,maftoul (Palestinian hand-rolled couscous),مفتول,مغربية|كسكس فلسطيني,grains_bakery,g,stable,grain,500,180,1.4,market,medium,https://needfish.com/i/Abu-Aita-Maftoul-Couscous-1kg-59576,Dried bulgur and flour pearls; homemade versions are sun-dried and keep less long.
couscous,couscous,كسكسي,كسكس,grains_bakery,g,stable,grain,500,365,1.3,market,low,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701230,Egyptian/North African semolina couscous; less common than maftoul in Gaza.
wheat_berries,whole wheat grains (for bleela),قمح مقشور,قمح|بليلة|قمح للبليلة,grains_bakery,g,stable,grain,500,365,1.3,market,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701230,"Boiled whole wheat for bleela (sweet or savoury); needs long cooking, so it uses a lot of gas."
corn_flour,corn flour / cornmeal,دقيق ذرة,طحين ذرة,grains_bakery,g,stable,grain,500,180,1.5,market,low,https://www.carrefouregypt.com/mafegy/ar/search?keyword=%D8%AF%D9%82%D9%8A%D9%82,Yellow or white maize meal.
corn_starch,corn starch,نشا,نشا ذرة|نشاء|كورن فلور,grains_bakery,g,stable,other,250,730,1.2,market,high,https://t.me/s/asarsook,"Gaza price lists sell it by the oqiya (وقية, about 250 g) for muhallabiya and puddings."
oats,rolled oats,شوفان,شوفان سريع التحضير|رقائق الشوفان,grains_bakery,g,stable,grain,500,270,1.5,market,medium,https://biddimarket.ps/orders/category/%D9%85%D9%86%D8%AA%D8%AC%D8%A7%D8%AA-%D8%B5%D8%AD%D9%8A%D8%A9-%D9%88%D8%AF%D8%A7%D9%8A%D8%AA,
breakfast_cereal,breakfast cereal (cornflakes etc.),كورن فليكس,رقائق الذرة|سيريال|حبوب الإفطار,grains_bakery,g,stable,grain,250,180,1.5,market,medium,https://biddimarket.ps/orders/category/%D8%AA%D8%AD%D8%B6%D9%8A%D8%B1-%D8%B3%D8%B1%D9%8A%D8%B9-%D9%88%D8%A7%D9%86%D8%AF%D9%88%D9%85%D9%8A,Sealed boxes/bags. Once opened they go soft quickly in humid air.
instant_noodles,instant noodles,اندومي,إندومي|نودلز|شعيرية سريعة التحضير|اندومي كاسات,grains_bakery,g,stable,ready_meal,75,240,1.5,market,high,https://t.me/s/asarsook,"Indomie packets and cups appear in Gaza price lists. Cups need only hot water, which saves gas."
yeast,instant dry yeast,خميرة,خميرة فورية|خميرة جافة|خميرة خبز,grains_bakery,g,keeps_days,other,11,120,2.0,market,high,https://t.me/s/asarsook,Gaza sells 400–500 g boxes (e.g. Pakmaya 450 g) and loose portions. Keeps about a year sealed; once opened it loses strength fast in heat.
baking_powder,baking powder,بيكنج باودر,باكينج باودر|مسحوق الخبز,grains_bakery,g,stable,other,16,365,1.3,market,medium,https://www.carrefouregypt.com/mafegy/ar/search?keyword=%D8%AE%D9%85%D9%8A%D8%B1%D8%A9,
