slug,name_en,name_ar,aliases_ar,category,unit,shelf_life,role,purchase_step,keeps_days_at_20c,q10,origin,confidence,source_url,notes
chicken_breast,chicken breast,صدر دجاج,صدور دجاج|صدر جاج|فيليه دجاج,meat_fish_frozen,g,perishable,poultry,500,0.5,3.5,market,high,https://www.un.org/unispal/document/wfp-palestine-food-security-analysis-market-monitor-palestine-january-2026/,Sold fresh or frozen by the kilo; frozen breast was the main form after 2025 re-entry.
chicken_thigh,chicken thighs / legs,فخذ دجاج,فخاد جاج|أفخاذ دجاج|وراك دجاج,meat_fish_frozen,g,perishable,poultry,500,0.5,3.5,market,high,https://www.un.org/unispal/document/wfp-palestine-food-security-analysis-market-monitor-palestine-january-2026/,Cheaper than breast; in Gaza price lists by the kilo.
chicken_drumstick,chicken drumsticks,دبوس دجاج,دبابيس دجاج|سيقان دجاج,meat_fish_frozen,g,perishable,poultry,500,0.5,3.5,market,medium,https://www.motqdmon.com/2022/04/863.html,Listed separately from thigh in Gaza price lists.
chicken_wings,chicken wings,جوانح دجاج,أجنحة دجاج|جناح دجاج,meat_fish_frozen,g,perishable,poultry,500,0.5,3.5,market,high,https://www.un.org/unispal/document/wfp-palestine-food-security-analysis-market-monitor-palestine-january-2026/,Cheapest chicken cut (about 8 NIS/kg in WFP Jan 2026).
chicken_liver,chicken liver,كبدة دجاج,كبدة جاج|كبد دجاج|قوانص وكبدة,meat_fish_frozen,g,perishable,poultry,250,0.3,4,market,high,https://www.un.org/unispal/document/wfp-palestine-food-security-analysis-market-monitor-palestine-january-2026/,Spoils fastest of the chicken cuts; cook the same day.
chicken_shish_tawook,shish tawook (cubed chicken breast),شيش طاووق,شيش طاووك|شيش|طاووق,meat_fish_frozen,g,perishable,poultry,500,0.5,3.5,market,high,https://www.motqdmon.com/2022/04/863.html,Raw cubed breast sold by butchers; also sold as frozen marinated packs.
frozen_whole_chicken,frozen whole chicken,دجاج مجمد كامل,جاج مجمد|فراخ مجمدة|دجاج مثلج,meat_fish_frozen,g,perishable,poultry,1000,0.5,3.5,market,high,https://www.alaraby.co.uk/economy/%D8%A7%D9%84%D9%84%D8%AD%D9%88%D9%85-%D8%AA%D8%B9%D9%88%D8%AF-%D8%A5%D9%84%D9%89-%D8%A3%D8%B3%D9%88%D8%A7%D9%82-%D8%BA%D8%B2%D8%A9-%D8%A8%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%BA%D9%8A%D8%B1-%D9%85%D8%B3%D8%A8%D9%88%D9%82%D8%A9,Main chicken form entering Gaza since 2025 (fresh poultry largely unavailable). Treat as thawing once bought without a freezer.
turkey_breast,turkey breast,صدر حبش,صدر ديك رومي|حبش,meat_fish_frozen,g,perishable,poultry,500,0.5,3.5,market,high,https://www.motqdmon.com/2022/04/863.html,Raw turkey is a common cheaper alternative to chicken in Gaza.
turkey_thigh,turkey thigh,فخذ حبش,فخاد حبش|وراك حبش,meat_fish_frozen,g,perishable,poultry,500,0.5,3.5,market,high,https://www.motqdmon.com/2022/04/863.html,
turkey_wing,turkey wing,جوانح حبش,جناح حبش,meat_fish_frozen,g,perishable,poultry,500,0.5,3.5,market,medium,https://www.motqdmon.com/2022/04/863.html,
turkey_neck,turkey neck,رقبة حبش,رقاب حبش,meat_fish_frozen,g,perishable,poultry,500,0.5,3.5,market,medium,https://www.motqdmon.com/2022/04/863.html,Very cheap cut used for soup and rice dishes.
duck,duck (local),بط,بط بلدي,meat_fish_frozen,g,perishable,poultry,1500,0.5,3.5,market,medium,https://www.motqdmon.com/2022/04/863.html,Priced per kg after slaughter.
pigeon,pigeon / squab,حمام,زغاليل|حمام بلدي,meat_fish_frozen,piece,perishable,poultry,1,0.5,3.5,market,medium,https://www.motqdmon.com/2022/04/863.html,"Sold per bird in large, medium and small sizes."
rabbit,rabbit,أرنب,أرانب|لحم أرانب,meat_fish_frozen,g,perishable,meat,1000,0.5,3.5,market,medium,https://www.motqdmon.com/2022/04/863.html,Local household-raised; priced per kg.
baladi_rooster,local (baladi) rooster,ديك بلدي,جاج بلدي|دجاج بلدي,meat_fish_frozen,g,perishable,poultry,1500,0.5,3.5,market,medium,https://www.motqdmon.com/2022/04/863.html,Free-range local bird; pricier than broiler chicken.
veal,veal (batello),لحم عجل بتلو,بتلو|عجل بتلو|لحمة بتلو,meat_fish_frozen,g,perishable,meat,500,0.5,3.5,market,high,https://www.motqdmon.com/2020/09/7.html,Priced above ordinary beef in Gaza price lists.
beef_liver,calf liver,كبدة عجل,كبدة|كبد بقر|كبدة بقري,meat_fish_frozen,g,perishable,meat,250,0.3,4,market,high,https://www.motqdmon.com/2020/09/7.html,
minced_meat,minced beef,لحمة مفرومة,فرم|لحمة مفرومة مجمدة|كفتة نيئة,meat_fish_frozen,g,perishable,meat,250,0.3,4,market,high,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6050000,Butcher-minced or frozen packs; spoils faster than whole cuts.
frozen_beef,frozen imported beef,لحمة مجمدة,لحمة برازيلية|لحمة هندية|لحم مثلج,meat_fish_frozen,g,perishable,meat,500,0.5,3.5,market,high,https://www.alaraby.co.uk/economy/%D8%A7%D9%84%D9%84%D8%AD%D9%88%D9%85-%D8%AA%D8%B9%D9%88%D8%AF-%D8%A5%D9%84%D9%89-%D8%A3%D8%B3%D9%88%D8%A7%D9%82-%D8%BA%D8%B2%D8%A9-%D8%A8%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%BA%D9%8A%D8%B1-%D9%85%D8%B3%D8%A8%D9%88%D9%82%D8%A9,Brazilian and Indian frozen beef/buffalo meat reached Gaza markets in 2025 (about 65 NIS/kg in Jan 2025).
sardine,sardines (fresh),سردين,سردينة|سردينا,meat_fish_frozen,g,perishable,fish,500,0.3,4,market,high,https://www.alwatanvoice.com/arabic/news/2022/01/23/1458286.html,The cheapest and most common local catch in Gaza. Do not confuse with canned sardines.
mullet,grey mullet (bouri),بوري,بوري بحري|بوري مزارع,meat_fish_frozen,g,perishable,fish,500,0.3,4,market,high,https://www.alwatanvoice.com/arabic/news/2022/01/23/1458286.html,"Classic Gaza fish for frying, zibdiyya and sayadiyya; also farmed in Gaza."
sea_bream,gilthead sea bream (denis),دنيس,دنيس بحر|دنيس مزارع,meat_fish_frozen,g,perishable,fish,500,0.3,4,market,high,https://www.alwatanvoice.com/arabic/news/2022/01/23/1458286.html,Local farmed and sea-caught; one of the pricier fish.
grouper,grouper (luxe),لوكس,لوكس صخري|استك لوكس,meat_fish_frozen,g,perishable,fish,500,0.3,4,market,high,https://www.alwatanvoice.com/arabic/news/2022/01/23/1458286.html,Premium fish; also sold as steaks.
sea_bass,sea bass (qarous),قاروص,قاروص بحري,meat_fish_frozen,g,perishable,fish,500,0.3,4,market,high,https://www.alwatanvoice.com/arabic/news/2022/01/23/1458286.html,
red_mullet,red mullet (sultan ibrahim),سلطان إبراهيم,سلطان|سلطان ابراهيم,meat_fish_frozen,g,perishable,fish,500,0.3,4,market,medium,https://www.alwatanvoice.com/arabic/news/2022/01/23/1458286.html,Listed as سلطان in Gaza fish prices.
shrimp,shrimp,جمبري,قريدس|روبيان,meat_fish_frozen,g,perishable,fish,250,0.3,4,market,high,https://www.alwatanvoice.com/arabic/news/2022/01/23/1458286.html,Used for zibdiyit gambari (shrimp clay pot); expensive.
crab,blue crab,سلطعون,سلطعونات|كابوريا,meat_fish_frozen,g,perishable,fish,500,0.3,4,market,high,https://www.alwatanvoice.com/arabic/news/2022/01/23/1458286.html,Very cheap per kg in season (about 6 NIS/kg in 2022). Used for Gaza's chilli crab dish (qidra/zibdiyya).
squid,squid (calamari),حبار,كاليماري|سبيط,meat_fish_frozen,g,perishable,fish,500,0.3,4,market,low,,Caught by Gaza fishermen; no price list seen.
frozen_fish_fillet,frozen white fish fillet,فيليه سمك مجمد,سمك فيليه|فيليه أبيض|باسا,meat_fish_frozen,g,perishable,fish,1000,0.3,4,market,medium,https://www.ynetnews.com/business/article/b1e40xzgme,Israeli suppliers reported frozen fish among goods sold to Gaza merchants (Jan 2026). Usually Vietnamese basa/panga.
mortadella,mortadella / luncheon roll,مرتديلا,لانشون|لنشون|مارتديلا|روست,meat_fish_frozen,g,keeps_days,meat,200,3,3,market,high,https://ar.wikipedia.org/wiki/%D8%B3%D9%86%D9%8A%D9%88%D8%B1%D8%A9_(%D8%B4%D8%B1%D9%83%D8%A9),"Cured cooked beef, chicken or turkey roll, sealed; label says refrigerate, so keeps only a few days at 20C. Canned luncheon belongs to canned goods."
sausages,sausages / hot dogs,نقانق,سجق|هوت دوغ|فرانكفورتر|نقانق دجاج,meat_fish_frozen,g,keeps_days,meat,340,2,3,market,high,https://altaqwamarket-marka.com/collection/10205,Vacuum-packed cooked sausages; beef or chicken.
smoked_turkey_breast,smoked turkey or chicken breast (cold cut),صدر حبش مدخن,حبش مدخن|رومي مدخن|صدر دجاج مدخن,meat_fish_frozen,g,keeps_days,meat,200,2,3,market,medium,https://altaqwamarket-marka.com/collection/10205,Sliced deli breast; pricier than mortadella.
salami,salami,سلامي,سلامي مدخن,meat_fish_frozen,g,keeps_days,meat,200,4,3,market,medium,https://needfish.com/brand/snywrt-llsnaat-alghdhayyt,
pastrami,pastrami / basterma,بسطرمة,بسترما|بسترامي|بسطرما,meat_fish_frozen,g,keeps_days,meat,200,4,3,market,medium,https://needfish.com/brand/snywrt-llsnaat-alghdhayyt,Cured spiced meat; dried basterma keeps longer than sliced pastrami.
beef_burger,beef burger patties (frozen),برغر لحم,برجر|همبرغر|برغر بقري,meat_fish_frozen,g,perishable,meat,400,0.5,3.5,market,high,https://altaqwamarket-marka.com/collection/10108,
chicken_burger,chicken burger patties (frozen),برغر دجاج,برجر دجاج|برجر فراخ,meat_fish_frozen,g,perishable,poultry,900,0.5,3.5,market,high,https://altaqwamarket-marka.com/collection/10108,
chicken_nuggets,chicken nuggets (frozen),ناجتس دجاج,ناغتس|قطع دجاج مقرمشة|أشكال دجاج,meat_fish_frozen,g,perishable,poultry,400,0.5,3.5,market,high,https://altaqwamarket-marka.com/collection/10108,"Includes rings, shapes, pops and hot shots."
breaded_chicken,"breaded chicken (escalope, strips, pane, zinger)",دجاج مقرمش مجمد,اسكالوب|بانيه|فيليه مقرمش|زنجر|أصابع دجاج|شنيتسل|مسحب|كوردون بلو,meat_fish_frozen,g,perishable,poultry,400,0.5,3.5,market,high,https://www.halwani.com/products-egypt/,"Breaded or crumbed frozen chicken pieces, fried or oven-baked. Needs oil or an oven, which costs gas."
grilled_chicken_frozen,"frozen pre-grilled chicken (fillet, shish, wings)",دجاج مشوي مجمد,شيش طاووق مشوي|فاهيتا|أجنحة مشوية,meat_fish_frozen,g,perishable,poultry,400,0.5,3.5,market,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6050300,"Already cooked, so it only needs reheating (little gas)."
shawarma_meat,frozen shawarma meat,شاورما مجمدة,شاورما لحمة|شاورما دجاج|شاورما,meat_fish_frozen,g,perishable,meat,400,0.5,3.5,market,medium,https://altaqwamarket-marka.com/collection/10205,Pre-sliced marinated strips for pan-frying.
kofta_kebab,frozen kofta / kebab,كفتة,كباب|كفتة مجمدة|كباب لحمة,meat_fish_frozen,g,perishable,meat,350,0.5,3.5,market,high,https://www.halwani.com/products-egypt/,
kibbeh,frozen kibbeh,كبة,كبة مقلية|أقراص كبة|كبة لحمة,meat_fish_frozen,g,perishable,ready_meal,900,0.5,3,market,medium,https://altaqwamarket-marka.com/collection/10108,
sambousek,frozen sambousek (meat or cheese),سمبوسك,سمبوسة|سمبوسك لحمة|سمبوسك جبنة,meat_fish_frozen,g,perishable,ready_meal,300,0.5,3,market,medium,https://needfish.com/brand/snywrt-llsnaat-alghdhayyt,Frozen filled pastries for frying; popular in Ramadan.
frozen_peas,frozen peas,بازيلاء مجمدة,بازيلا|بسلة مجمدة|بازيلا خضرا,meat_fish_frozen,g,perishable,veg_fruit,400,1,2.5,market,high,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,Frozen veg thaw within hours without a freezer. Cook the whole pack the day you buy it.
frozen_peas_carrots,frozen peas and carrots,بازيلاء وجزر مجمدة,بازيلا وجزر|بسلة بالجزر,meat_fish_frozen,g,perishable,veg_fruit,400,1,2.5,market,high,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,Base for the Gaza peas-and-carrots stew with rice.
frozen_okra,frozen okra,بامية مجمدة,بامية|بامية زيرو|بامية اكسترا,meat_fish_frozen,g,perishable,veg_fruit,400,1,2.5,market,high,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,Grades: zero (smallest) and extra are priciest.
frozen_molokhia,frozen minced molokhia,ملوخية مجمدة,ملوخية مفرومة|ملوخية خضرا,meat_fish_frozen,g,perishable,veg_leaf,400,1,2.5,market,high,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,Minced green molokhia; dried molokhia is a separate existing item.
frozen_mixed_veg,frozen mixed vegetables,خضار مشكلة مجمدة,خضار مشكل|خضار سوتيه|خضار للشوربة,meat_fish_frozen,g,perishable,veg_fruit,400,1,2.5,market,high,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,
frozen_sweet_corn,frozen sweet corn,ذرة مجمدة,درة|ذرة حلوة|كيزان ذرة,meat_fish_frozen,g,perishable,veg_fruit,400,1,2.5,market,high,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,
frozen_green_beans,frozen cut green beans,فاصوليا خضراء مجمدة,فاصوليا مقطعة|لوبيا خضرا,meat_fish_frozen,g,perishable,veg_fruit,400,1,2.5,market,high,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,
frozen_spinach,frozen spinach,سبانخ مجمدة,سبانخ,meat_fish_frozen,g,perishable,veg_leaf,400,1,2.5,market,high,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,
frozen_artichoke,frozen artichoke hearts,خرشوف مجمد,أرضي شوكي|قلوب خرشوف,meat_fish_frozen,g,perishable,veg_fruit,400,1,2.5,market,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,
frozen_broccoli,frozen broccoli,بروكلي مجمد,بروكلي,meat_fish_frozen,g,perishable,veg_fruit,400,1,2.5,market,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,
frozen_cauliflower,frozen cauliflower,زهرة مجمدة,قرنبيط|زهرة,meat_fish_frozen,g,perishable,veg_fruit,400,1,2.5,market,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,
frozen_colocasia,frozen colocasia (taro),قلقاس مجمد,قلقاس,meat_fish_frozen,g,perishable,veg_root,400,1,2.5,market,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,
frozen_broad_beans,frozen green broad beans,فول أخضر مجمد,فول أخضر|فول حراتي,meat_fish_frozen,g,perishable,veg_fruit,400,1,2.5,market,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY6020100,
frozen_carrots,frozen carrots,جزر مجمد,جزر,meat_fish_frozen,g,perishable,veg_root,400,1,2.5,market,medium,https://ofer-meat.co.il/category/2869/,
frozen_fries,frozen french fries,بطاطا مقلية مجمدة,بطاطس مجمدة|بطاطا فرايز|شيبس مجمد,meat_fish_frozen,g,perishable,veg_root,1000,1,2.5,market,medium,https://altaqwamarket-marka.com/collection/10108,Needs deep-frying oil and gas.
