slug,name_en,name_ar,aliases_ar,category,unit,shelf_life,role,purchase_step,keeps_days_at_20c,q10,origin,confidence,source_url,notes
vegetable_ghee,vegetable ghee (hydrogenated),سمنة نباتية,سمنة|سمن نباتي|سمنة صناعية,oils_spreads_spices,g,stable,fat,500,365,1.5,market,high,https://www.palbazaar.com/index.php?route=product/product&product_id=121119,"Tinned vegetable ghee (Al-Ghazal etc.) is the everyday frying/cooking fat in Palestinian markets; solid at 20C, no fridge needed."
animal_ghee,animal or butter ghee (samna baladi),سمنة بلدية,سمنة حيوانية|سمن بلدي|سمنة بقر|سمنة غنم,oils_spreads_spices,g,stable,fat,250,180,1.8,market,high,https://alsaeedforherbandspice.com/products/palestinian-ghee,Clarified butter; sold loose by the waqiya (250 g) in Palestinian spice shops and tinned (e.g. Dutch cow ghee). Keeps months unrefrigerated if kept clean.
margarine,margarine,مرجرين,مارجرين|زبدة نباتية,oils_spreads_spices,g,keeps_days,fat,250,21,2.5,market,medium,https://www.palbazaar.com/index.php?route=product/product&product_id=112101,Softens and goes rancid faster than ghee without refrigeration; buy small packs.
halawa,tahini halawa (halva),حلاوة طحينية,حلاوة|حلاوة شامية|حلاوة سمسمية,oils_spreads_spices,g,stable,sweets,250,180,1.5,both,high,https://www.alquds.com/ar/posts/160330,Sesame halva; a staple cheap breakfast/snack and part of UNRWA/WFP parcels (https://www.unrwa.org/newsroom/features/supporting-most-vulnerable-gaza-vital-food). Stable at room temperature; oil separates in heat.
jam,fruit jam,مربى,مربّى|معقود|مربى فواكه,oils_spreads_spices,g,stable,sweetener,400,365,1.5,both,high,https://www.middleeasteye.net/news/what-inside-box-aid-distributed-gaza-humanitarian-foundation,Sealed jars are shelf-stable; apricot jam jars appeared in GHF aid boxes (2025). Once opened keeps a few weeks unrefrigerated.
honey,honey,عسل,عسل نحل|عسل طبيعي|عسل بلدي,oils_spreads_spices,g,stable,sweetener,250,730,1.2,market,high,https://alsaeedforherbandspice.com/products/sidir-honey,Effectively non-perishable; sold by the waqiya (250 g) or in jars.
date_molasses,date molasses (dibs),دبس تمر,دبس|دبس التمر|عسل التمر|دبس بلح,oils_spreads_spices,g,stable,sweetener,500,365,1.3,market,medium,https://alsaeedforherbandspice.com/products/date-molasses,Eaten with tahini (dibs w tahini) at breakfast.
grape_molasses,grape molasses (dibs),دبس عنب,دبس خليلي|دبس العنب|دبس,oils_spreads_spices,g,stable,sweetener,500,365,1.3,market,medium,https://alsaeedforherbandspice.com/products/grape-molasses-1000g,Hebron speciality; also Turkish imports (pekmez).
carob_molasses,carob molasses,دبس خروب,دبس الخروب|خروب,oils_spreads_spices,g,stable,sweetener,500,365,1.3,market,medium,https://alsaeedforherbandspice.com/products/carob-molasses,
pomegranate_molasses,pomegranate molasses,دبس رمان,دبس الرمان|رب الرمان,oils_spreads_spices,ml,stable,condiment,250,365,1.3,market,high,https://www.palbazaar.com/index.php?route=product/product&product_id=124103,Souring agent used in Gazan cooking (with sumac and lemon).
chocolate_spread,chocolate hazelnut spread,شوكولاتة للدهن,نوتيلا|شوكولاتة دهن|كريمة الشوكولاتة|شوكولا,oils_spreads_spices,g,stable,sweets,350,365,1.5,market,high,https://www.npr.org/2026/01/13/nx-s1-5668321-e1/markets-and-restaurants-return-to-gaza-but-few-can-afford-the-expensive-price-tag,"Nutella reported back on Gaza supermarket shelves (NPR, Jan 2026). Oil may separate above 30C."
peanut_butter,peanut butter,زبدة الفول السوداني,زبدة فستق|زبدة فول سوداني|زبدة الفستق,oils_spreads_spices,g,stable,nuts_seeds,340,365,1.5,market,medium,https://www.palbazaar.com/index.php?route=product/product&product_id=126103,"Not a traditional staple; imported (US, Lotus, Israeli)."
ketchup,tomato ketchup,كاتشب,كتشب|كاتشاب|صلصة بندورة حلوة,oils_spreads_spices,g,stable,condiment,400,365,1.5,market,high,https://www.palbazaar.com/index.php?route=product/product&product_id=125127,Sealed bottles shelf-stable; opened keeps ~1 month unrefrigerated if kept cool.
mayonnaise,mayonnaise,مايونيز,مايونيزة|مايونيز,oils_spreads_spices,g,stable,condiment,250,180,2,market,high,https://www.palbazaar.com/index.php?route=product/product&product_id=125129,Sealed jars are stable; once opened it needs refrigeration (spoils in 1-2 days at 25C+). Prefer small packs or sachets.
hot_sauce,hot chili sauce (liquid),صوص حار,شطة|شطة سائلة|هوت صوص|صلصة حارة,oils_spreads_spices,ml,stable,condiment,100,365,1.3,market,high,https://www.palbazaar.com/index.php?route=product/product&product_id=125100,Vinegar-based bottled chili sauce.
pepper_paste,red chili paste (shatta),شطة مطحونة,شطة|دبس فليفلة|فلفل مطحون|شطة حمرا,oils_spreads_spices,g,stable,condiment,250,180,1.5,market,high,https://www.palbazaar.com/index.php?route=product/product&product_id=151111,"Gazan shatta: ground red chillies with salt, lemon/oil; also made at home. Jarred versions in 370-560 g jars."
mustard,mustard,مسطردة,خردل|مستردة|مسترد,oils_spreads_spices,g,stable,condiment,200,365,1.4,market,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1750100,Minor item.
vinegar,vinegar,خل,خل أبيض|خل تفاح|خل طبيعي,oils_spreads_spices,ml,stable,condiment,500,730,1.1,market,high,https://www.palbazaar.com/index.php?route=product/product&product_id=124101,"Used for pickling (makdous, lift) and salads; روح الخل (acetic essence) is diluted at home."
bouillon_cube,bouillon (stock) cube,مكعب مرقة,ماجي|مكعبات ماجي|مرقة دجاج|كنور,oils_spreads_spices,piece,stable,condiment,1,540,1.3,market,high,https://www.palbazaar.com/index.php?route=product/product&product_id=127115,Called 'Maggi' generically; sold singly or in boxes of 8-24 cubes (about 10 g each; Knorr Egypt 9 g each).
stock_powder,stock powder (chicken seasoning powder),مرقة دجاج بودرة,ماجي بودرة|بديل الماجي|شوربة دجاج بودرة,oils_spreads_spices,g,stable,condiment,100,540,1.3,market,medium,https://alsaeedforherbandspice.com/products/chicken-stock-powder-1000g,
sumac,sumac,سماق,سمّاق|سماق بلدي|سماق مطحون,oils_spreads_spices,g,stable,spice,125,365,1.3,market,high,https://alsaeedforherbandspice.com/products/ground-sumac,"Central to Gaza cooking (sumaghiyya, fattoush, musakhan)."
turmeric,turmeric,كركم,كركم ناعم|عقدة صفراء|كركم عود,oils_spreads_spices,g,stable,spice,125,365,1.3,market,high,https://alsaeedforherbandspice.com/products/ground-turmeric,
